branching_factor,false_positive_rate,max_elements,total storage,name,num_nodes_visited,nodes_visited,time,leaf_nodes_reached,nodes_per_depth
2,0.001,1000,273182,Phyllis,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Hanna,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Phyllis,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Keisha,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Kerry,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Neal,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Rosario,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Ida,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Mario,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Harry,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Foster,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Roderick,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Emerita,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Sybil,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Florence,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Katie,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Melida,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Harris,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Mario,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Yolanda,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Dave,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Julio,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Forrest,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Maryanne,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Chang,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Dennise,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Samual,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Zane,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Cora,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Ida,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Pedro,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Jody,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Colleen,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Greg,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Tomas,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Chelsie,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Jon,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Agnes,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Harriet,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Sherrie,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Carolina,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Annie,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Lauretta,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Leota,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Darron,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Kristine,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Jenette,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Rueben,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Emiko,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Harry,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Phyllis,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Hanna,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Phyllis,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Keisha,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Kerry,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Neal,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Rosario,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Ida,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Mario,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Harry,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Foster,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Roderick,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Emerita,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Sybil,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Florence,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Katie,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Melida,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Harris,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Mario,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Yolanda,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Dave,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Julio,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Forrest,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Maryanne,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Chang,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Dennise,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.0001,1000,364249,Samual,0,[],0.007863998413085938,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
